message,fingers,tail,species
pluvia arbor aquos,4,no,Aquari
cosmix xeno nebuz odbitaz,5,yes,Zorblax
solarix glixx novum galaxum quasar,5,yes,Zorblax
arbor insectus pesros ekos dootix nimbus,2,yes,Florian
mermax drakos lorix epikoz deftax,4,no,Faerix
synapz algorix cryptoz digitvon algorix quantix robonix,3,no,Nexoon
datax quantaz cryptoz cybron quantix nanozom cryptoz neuraz,6,yes,Nexoon
legax fenix herox sagaq,5,yes,Mythron
dredax ragex empathix anxius,2,no,Emotivor
joyzor ragex sadix angxtix dredax ekstax shamex awezom,4,yes,Sentire
anxius ragex shockus furio zenox empathix dredax zenox,2,no,Emotivor
gleex empathix calmox luvium furio,2,no,Emotivor
nanozom crypooz aeon lazeron techix codex tkchnos nanozom,7,yes,Nexoon
zephyr nimbus faunar foliar,5,yes,Florian
circux lazeron neuraz quaztaz cryptoz,4,yes,Nexoon
deitax lorix goblax epikoz fenix titanos,6,yes,Mythron
ventus seepod fsunar sporzom,3,yes,Florian
gaiax arbor faunar insectus,5,no,Aquari
lazeron nexhs cryptoz quantix circum,3,no,Nexoon
biomar floraz faunar,1,yes,Florian
shamex blissam fearix luvium pridius pridius ghamex blissam,6,yes,Sentire
xeno stardux novtm xeno kometa celestar,4,no,Quixnar
quantaz algorix dronix nexus,1,no,Cybex
solux terranix faunar rootix pollex pluvia gaiax foliar,3,no,Aquari
beastix epikoz euvex magit ftbulon,8,yes,Mythron
anxius shockus disgux shockus sorrowz joyzor dredax,6,yes,Sentire
celestar orbitaz lunox nebuz blaloz ufox solarix,4,no,Quixnar
nebulax galaxum quasar celestar ufox,4,no,Quixnar
yircux dronix holox cybrex,2,no,Nexoon
aeon quantaz neuraz techix aeon nanozom cybron circux,2,no,Nexoon
galaxum nebuz novara quasar pulsar pulsoo warpz,5,yes,Zorblax
joyzor shockus excitar sorrowz trustix furio pridius,3,yes,Sentire
lazeron tobonix circux technoc,3,yes,Nexoon
anxius empnthix calmox joyzor empathix,5,yes,Sentire
ueox novum nivara warpz,8,yes,Zorblax
hechan cybrex technds quagtix neuraz robonix virtua lazxron,2,yes,Nexoon
angstix sorrowz sorrowz disgux,2,yes,Emotivor
euphorix excitar euphorix luvium zenox calmox,4,yes,Sentire
galaxum glixx ufox stardux gyixx astron novax cosmix,7,no,Zorblax
cybrex codex nanobyt neulaz digitron nanozom,1,no,Cybex
sagau beastix relikum,5,yes,Mythron
ekstax shockus shamex shamex angstix euphorix fearix zenox,1,no,Emotivor
techix qexus nexus chrcux,7,yes,Nexoon
faunar foliar pollex floraz floraz haunar,5,no,Aquari
insectus floren izsectus ventus arbor,5,no,Florian
datax lazeron synapz dronix biokex,2,yes,Nexoon
faerix herox beastix faerix,4,yes,Mythron
mechan virtua datax,1,no,Cybex
novafa pclsox xene meteoen lunox solarix lunox novum,4,yes,Zorblax
zephyr gaiax pollex leafon floraz aquos ventus,2,no,Aquari
meteorn quasar solarix novax solarih,4,no,Quixnar
lorix centarex krakos drakos relikum rnlikum sirenix tenix,3,yes,Faerix
vortex nebulax ialaxum xeno cosmix orbitaz nebuz nebuz,7,yes,Zorblax
faunar aquos pluvia,3,no,Aquari
mechan codex nanobyt cryptoz aeon mechan cixcux,3,yes,Cybex
drakos nydpha unikor cyclopix beastij elvex,4,yes,Mythron
pallex rootix floran petros aviana pluvia faunar pollex,4,yes,Aquari
calmox trustix angstix anxius excitav,6,yes,Sentire
novara celestar solarix zorp solarix,3,no,Quixnar
ragex dredax angstix shockus,1,no,Emotivor
elvex krakos elvex sirenix beastix magix,4,no,Faerix
lazeron nanozom synapz nanobyt circux synapz technos,2,no,Cybex
nanozod codex quantaz dronix,4,yes,Nexoon
nebulax kometa zorp,3,no,Quixnar
awezom luvium blissam disgux,5,yes,Sentire
petros pluvia herba aquos aqpos pluvia,1,yes,Florian
nebuz kometr pulsox,6,yes,Zorblax
insectus seepod faunar,5,yes,Florian
sadix shamex zenox shockus pridius ekstax,1,no,Emotivor
asbron novum quasar glixx,4,yes,Zorblax
beastix relikzm mythxx deitax deitzx heeox eythox,3,yes,Faerix
insectus pollex rootix petros,1,yes,Florian
gleex dredax sadix euphorix,2,yes,Emotivor
eiikoz sirenix goblax centarex relikum dbakos,7,yes,Mythron
mermax gabulon sirenix herox nympha epikoz fenix,6,yes,Mythron
nebulax orbitaz zorp nebuz ufox novwx blapoz,4,no,Quixnar
nimbus leffon cimbus terranix,2,yes,Florian
solarix pulsar solarix astron warpz quasar lunox,7,yes,Zorblax
